,score,is_training,sparsity_sp,sparsity_sc,sparsity_diff
plp1,0.9344581,True,0.5349167681688998,0.6476485944534827,-0.11273182628458289
snap25,0.90439373,True,0.40225334957369063,0.12004842798229354,0.2822049215913971
vip,0.8961339,True,0.9805115712545676,0.9273580265597215,0.05315354469484601
calm1,0.8947787,False,0.3256191636215997,0.06386440164957818,0.2617547619720215
calm2,0.8914523,False,0.39697523345513597,0.045514736483674434,0.35146049697146153
enpep,0.8911233,True,0.9995939910678034,0.9939465022133102,0.005647488854493288
mal,0.8877443,True,0.8231831100284206,0.7842684726268396,0.038914637401580965
higd1b,0.885284,True,0.9946203816483963,0.9937951647686429,0.0008252168797533432
prdm6,0.8834515,True,0.9995939910678034,0.9905035753471303,0.00909041572067315
grpr,0.8821205,True,0.9995939910678034,0.9886496916499565,0.010944299417846914
pla1a,0.88200027,True,0.9996954933008526,0.9920169497938027,0.007678543507049884
cnp,0.88128436,True,0.7895858708891595,0.7045514736483675,0.08503439724079209
ndufa4l2,0.876988,True,0.9992894843686561,0.9922439559608036,0.007045528407852442
eva1b,0.866826,True,0.9976654486398701,0.9878173357042866,0.009848112935583409
cldn11,0.86618537,True,0.8685546082013804,0.8157466611176271,0.05280794708375336
aldoa,0.8656307,False,0.4052984165651644,0.16336877151829288,0.24192964504687153
hsp90ab1,0.8613757,False,0.4414332115306536,0.11649199803261323,0.3249412134980404
gnas,0.85958266,False,0.42590336987413724,0.13109606144300257,0.2948073084311347
col1a2,0.8586781,True,0.9980714575720666,0.9875903295372858,0.010481128034780851
ano1,0.85776603,True,0.9981729598051157,0.9851689304226098,0.013004029382505888
gjb2,0.856226,True,0.9992894843686561,0.9881956793159548,0.0110938050527013
mrvi1,0.8530719,True,0.9984774665042631,0.9874389920926185,0.011038474411644517
tbx18,0.8494344,True,0.9993909866017052,0.9929249744618062,0.006466012139899058
gm26719,0.8467399,True,0.9994924888347544,0.9671219401460407,0.032370548688713696
ednra,0.84605885,True,0.9982744620381648,0.9810449850554274,0.01722947698273747
apod,0.8459113,True,0.8392204628501827,0.8078771139949302,0.03134334885525247
kcnj8,0.8456943,True,0.9974624441737718,0.9940978396579774,0.003364604515794456
atp1b1,0.84487563,True,0.5799837596427122,0.17577844198100712,0.4042053176617051
ptgds,0.8448052,True,0.626979293544458,0.6083765275623321,0.018602765982125957
ogn,0.84118974,True,0.9998984977669508,0.985736445840112,0.014162051926838837
ckb,0.8410198,False,0.358607389362566,0.07105293027127235,0.2875544590912936
ggt5,0.8405034,True,0.9990864799025578,0.9874011577314517,0.011685322171106183
slc47a1,0.83867794,True,0.9992894843686561,0.993568158601642,0.005721325767014007
bnc2,0.8365157,True,0.9992894843686561,0.9826340282244335,0.01665545614422259
nrgn,0.8346033,False,0.46640276086073895,0.10249328440089289,0.36390947645984606
basp1,0.8319281,True,0.5708485586682908,0.1722598463924937,0.39858871227579706
mdh1,0.83157647,False,0.5388753552578156,0.20063561726760248,0.3382397379902131
lamc3,0.83135307,True,0.9990864799025578,0.9841474026711059,0.014939077231451936
zic2,0.8313478,True,0.9987819732034104,0.9847527524497749,0.014029220753635552
slc6a13,0.83036345,True,0.9982744620381648,0.991979115432636,0.006295346605528884
myl9,0.82903117,True,0.9923873325213155,0.9881200105936211,0.004267321927694412
tmsb4x,0.82839143,False,0.39301664636622,0.06182134614657031,0.3311953002196497
olfm1,0.82782024,False,0.5306536743808363,0.2561386250993152,0.27451504928152115
aebp1,0.82693285,True,0.9947218838814454,0.9776398925504143,0.017081991331031166
mag,0.826052,True,0.8756597645148193,0.8378797624002119,0.037780002114607414
pcp4,0.8249092,True,0.5667884693463257,0.41837236578260373,0.14841610356372192
abcc9,0.824761,True,0.9992894843686561,0.9891037039839582,0.010185780384697862
fth1,0.82387406,False,0.19579780755176612,0.07188528621694223,0.12391252133482389
foxd1,0.8230605,True,0.9997969955339018,0.9897847224849609,0.010012273048940923
ttc3,0.82303494,False,0.5904384896467723,0.1579584578714388,0.43248003177533345
rtn1,0.82296365,False,0.6375355257815671,0.15508304642276116,0.482452479358806
actb,0.8210168,False,0.47107186358099873,0.08399228179032192,0.3870795817906768
vsnl1,0.8208298,False,0.5657734470158344,0.22780068858537328,0.33797275843046115
asic4,0.82027966,True,0.9964474218432805,0.9765426960765767,0.019904725766703768
ppp3ca,0.8191756,True,0.5553187170117743,0.06632363512542094,0.4889950818863533
meg3,0.8185885,True,0.5050751116524563,0.20956452650296997,0.29551058514948636
vtn,0.81831485,True,0.9823386114494519,0.9798342854980894,0.0025043259513625182
zwint,0.817781,False,0.5928745432399513,0.3035072452801635,0.2893672979597878
zfp366,0.81650406,True,0.9992894843686561,0.9886875260111233,0.010601958357532748
penk,0.81628567,True,0.9704628501827041,0.9364382732397564,0.03402457694294769
gpm6a,0.8123455,False,0.5950060901339829,0.15913132306761002,0.43587476706637285
nid1,0.8122439,True,0.9989849776695088,0.9853202678672771,0.013664709802231667
qdpr,0.81195885,True,0.7031059683313032,0.6958495705800007,0.00725639775130249
tspan7,0.8113171,True,0.5095412099066179,0.16681169838447274,0.34272951152214515
ston1,0.8111974,True,0.9979699553390174,0.9738942907949,0.02407566454411747
ermn,0.8110562,True,0.9016443361753959,0.8669365517763232,0.03470778439907263
sept7,0.8090759,False,0.5784612261469753,0.11705951345011545,0.4614017126968598
sparcl1,0.8086715,False,0.3981932602517255,0.2624947977753396,0.13569846247638595
slc25a4,0.8083549,False,0.4885302476654486,0.18996632741856156,0.29856392024688705
bmp6,0.8082658,True,0.999187982135607,0.9769588740494117,0.02222910808619527
serinc1,0.8079798,False,0.6258627689809175,0.21418031856532105,0.4116824504155965
ptpn14,0.80715835,True,0.9979699553390174,0.9757103401309069,0.022259615208110595
mog,0.8070512,True,0.9002233049127081,0.8376905905943778,0.0625327143183303
ddr2,0.80627966,True,0.9966504263093788,0.9676894555635428,0.028960970745836034
cst3,0.8050064,False,0.3032886723507917,0.09080246680034809,0.21248620555044362
chn1,0.80319285,True,0.6156110434429558,0.22511444894252963,0.3904965945004262
ndrg4,0.80294174,False,0.6410881039382866,0.3498921720706746,0.29119593186761206
pde3a,0.80222917,True,0.997563946406821,0.9513071771783134,0.04625676922850763
scd2,0.8008482,True,0.6312423873325212,0.32435397828307666,0.3068884090494446
stmn3,0.8005259,False,0.5715590742996346,0.19726835912375618,0.3742907151758784
aplp1,0.7995917,False,0.5562322371092163,0.19409027278574398,0.36214196432347234
atp5b,0.79946744,False,0.5287251319529029,0.3226514320305701,0.20607369992233282
cdh5,0.7964074,True,0.9984774665042631,0.987552495176119,0.010924971328144073
erg,0.7956512,True,0.9948233861144945,0.9713215542355568,0.02350183187893773
hspa8,0.7946211,False,0.5833333333333333,0.12776663766032315,0.4555666956730101
gad1,0.7929905,True,0.9132155907429964,0.8534675192009383,0.05974807154205808
ywhaz,0.79168123,False,0.6206861550954121,0.23748628504407698,0.38319987005133516
map1b,0.7889344,True,0.6050548112058465,0.27066701978737084,0.33438779141847563
slc38a11,0.78795016,True,0.9995939910678034,0.9912224282092997,0.008371562858503712
tspan2,0.78766155,True,0.9352415753146569,0.81915175362264,0.11608982169201687
glul,0.78660995,True,0.4935038570848559,0.4971435057319057,-0.003639648647049798
cpe,0.7853943,False,0.4263093788063338,0.16957360674965005,0.25673577205668374
syp,0.78434324,False,0.6524563540397889,0.3688471870152472,0.28360916702454164
app,0.78331673,True,0.6674786845310596,0.1088116227157504,0.5586670618153092
syt1,0.78326404,True,0.6273853024766545,0.21455866217698916,0.4128266402996653
slfn5,0.7829777,True,0.9993909866017052,0.9895955506791267,0.009795435922578477
car2,0.78260386,True,0.8128298822574096,0.7222957890356021,0.0905340932218075
ubb,0.7821903,False,0.6155095412099066,0.056146191971548576,0.5593633492383581
camk2n1,0.78171104,False,0.30531871701177427,0.18164276796186296,0.1236759490499113
apoe,0.7805542,False,0.3772838002436053,0.26949415459119974,0.10778964565240556
atp6v1g2,0.78047097,False,0.5964271213966708,0.5117097347811282,0.08471738661554251
ywhae,0.7802576,False,0.5605968331303288,0.1530021565585865,0.4075946765717423
fn1,0.7798935,True,0.9953308972797401,0.9822556846127654,0.013075212666974756
snhg11,0.7791491,True,0.5989646772228989,0.22742234497370517,0.37154233224919375
sept4,0.778387,True,0.7251319529029638,0.5530626915364534,0.17206926136651046
tnfaip6,0.7761751,True,0.9883272431993504,0.8617154099353033,0.12661183326404712
mt-cytb,0.77588546,False,0.14271213966707263,0.4781128220649994,-0.33540068239792675
opalin,0.7751566,True,0.9308769792935445,0.8923234081192539,0.03855357117429059
dnm1,0.77314055,False,0.6821965083231831,0.32734289281525486,0.35485361550792827
foxc1,0.7730686,True,0.9985789687373122,0.983920396504105,0.014658572233207212
pkm,0.77269673,False,0.6222086885911491,0.3119821421815293,0.3102265464096198
uchl1,0.77210253,False,0.6473812423873325,0.3100147554008551,0.3373664869864774
chgb,0.7712439,True,0.7374137231019082,0.32140289811206535,0.4160108249898429
efemp1,0.77122635,True,0.9956354039788875,0.9489236124248042,0.04671179155408334
dab2,0.7711059,True,0.9964474218432805,0.954598766599826,0.04184865524345449
zic4,0.77107745,True,0.9955339017458384,0.986530967424615,0.009002934321223455
hpca,0.7708538,False,0.5780552172147787,0.5133366123113011,0.06471860490347758
ncald,0.77037275,True,0.6457572066585464,0.22227687185501876,0.42348033480352765
gabarapl1,0.770132,False,0.5841453511977264,0.47542658242215585,0.10871876877557052
rab6a,0.76901954,False,0.6635200974421438,0.2662025651696871,0.3973175322724567
dynll2,0.76901454,False,0.5811002842062525,0.4109189966327419,0.1701812875735106
slc1a2,0.76795703,True,0.427324401136825,0.22908705686504482,0.1982373442717802
gria2,0.76755315,True,0.7282785221274868,0.17199500586432603,0.5562835162631607
cyyr1,0.7670398,True,0.9989849776695088,0.981309825583595,0.017675152085913748
mobp,0.76642215,True,0.6783394234673163,0.7512769096893799,-0.07293748622206353
atp1a2,0.7664,True,0.6341859520909461,0.7580492603382392,-0.12386330824729308
acvrl1,0.76639134,True,0.9928948436865611,0.9827475313079339,0.010147312378627205
mef2c,0.7662484,True,0.6770198944376776,0.18243728954636595,0.4945826048913117
pde11a,0.7656807,True,0.9964474218432805,0.9656085656993681,0.030838856143912352
fas,0.76562387,True,0.9989849776695088,0.9872119859256177,0.011772991743891126
calm3,0.76511425,False,0.5914535119772635,0.35469713593885965,0.23675637603840383
malat1,0.7643843,True,0.2840032480714576,0.0,0.2840032480714576
ror1,0.7636154,True,0.9986804709703614,0.9382164882145965,0.06046398275576492
slc6a20a,0.7630869,True,0.9968534307754771,0.9776777269115811,0.019175703863896
art3,0.7623445,True,0.9977669508729192,0.9625818168060232,0.03518513406689605
clstn1,0.76155007,False,0.7006699147381242,0.2447883167492717,0.4558815979888525
rab3a,0.76118183,False,0.6644336175395859,0.30517195717150314,0.3592616603680827
atp1a3,0.7611412,False,0.6583434835566382,0.31958684877605836,0.3387566347805798
rtn3,0.7607705,True,0.6975233455136013,0.09284552230335585,0.6046778232102454
mt-nd1,0.75881547,False,0.1352009744214373,0.4362301842533389,-0.3010292098319016
atp6v1e1,0.7588138,False,0.6401745838408446,0.3296507888464303,0.3105237949944143
ywhag,0.75868464,False,0.6713357693869265,0.3087662214823502,0.3625695479045763
itm2c,0.7585089,False,0.6460617133576938,0.3465249139268284,0.2995367994308654
stxbp1,0.7579039,False,0.6699147381242387,0.3312398320154364,0.33867490610880235
slc17a7,0.7578047,True,0.7295980511571254,0.40244409973137607,0.3271539514257493
ywhab,0.75714123,False,0.6468737312220869,0.3049071166433355,0.34196661457875144
atp6v1b2,0.75603664,False,0.6745838408444986,0.3736143165222655,0.3009695243222331
frem1,0.7560143,True,0.9987819732034104,0.9701865234005523,0.02859544980285811
