,score,is_training,sparsity_sp,sparsity_sc,sparsity_diff
ebf3,0.9527469,True,0.9938271604938271,0.9964511222749689,-0.0026239617811417704
lhx1os,0.9362847,True,0.9969135802469136,0.9971424620915333,-0.00022888184461977712
nhlh2,0.92866904,True,0.9969135802469136,0.9845139881089552,0.012399592137958382
apoe,0.92558426,True,0.0,0.6682029773701433,-0.6682029773701433
hspa8,0.9165757,False,0.0,0.0007835184587731137,-0.0007835184587731137
tmsb4x,0.9160661,True,0.0,0.002811448587362264,-0.002811448587362264
ndufa4,0.915656,False,0.0,0.0024427340185279034,-0.0024427340185279034
cox6c,0.91544074,False,0.0,0.0013826796331289914,-0.0013826796331289914
ppia,0.91479075,True,0.0,9.217864220856242e-05,-9.217864220856242e-05
hsp90aa1,0.91429955,False,0.0,0.013135456514725585,-0.013135456514725585
calm2,0.914125,False,0.0,0.0017513942019633522,-0.0017513942019633522
chchd2,0.91305304,False,0.0,0.002765359266257983,-0.002765359266257983
ubb,0.9128568,True,0.0,9.217864220856242e-05,-9.217864220856242e-05
gpx4,0.91278553,True,0.0,0.005991611743559,-0.005991611743559
rps14,0.91270846,True,0.0,0.005622897174724639,-0.005622897174724639
1110008p14rik,0.9122969,True,0.0,0.0539705950131355,-0.0539705950131355
sept7,0.91225827,True,0.0,0.0029497165506752188,-0.0029497165506752188
atp5b,0.91176367,True,0.0,0.0011522330276074744,-0.0011522330276074744
bsg,0.9115945,True,0.0,0.002534912660736466,-0.002534912660736466
calm1,0.9115826,False,0.0,0.0003687145688343607,-0.0003687145688343607
rps3a1,0.9114278,False,0.0,0.01728349541411256,-0.01728349541411256
snap25,0.91135573,False,0.0,0.01461031479006314,-0.01461031479006314
gapdh,0.9113444,False,0.0,0.0009678757431903495,-0.0009678757431903495
cox7b,0.911304,False,0.0030864197530864335,0.005945522422454719,-0.0028591026693682853
gnas,0.9111998,False,0.0,0.0026731806240494205,-0.0026731806240494205
uqcrh,0.91073453,False,0.0,0.004885468037055807,-0.004885468037055807
atp2b1,0.9106139,True,0.0092592592592593,0.030142416002212236,-0.020883156742952935
dynll1,0.9106066,True,0.0,0.002811448587362264,-0.002811448587362264
rps27a,0.91057795,False,0.0,0.014886850716688937,-0.014886850716688937
cox8a,0.91056687,False,0.0,0.0009217864220859573,-0.0009217864220859573
fth1,0.91055954,True,0.0,0.00013826796331295466,-0.00013826796331295466
cox5b,0.91050625,False,0.0,0.003226252477301017,-0.003226252477301017
cox4i1,0.910391,False,0.0,0.0011522330276074744,-0.0011522330276074744
slc25a4,0.91027874,True,0.0,0.003180163156196736,-0.003180163156196736
ddx5,0.91026807,False,0.0,0.0011061437065031932,-0.0011061437065031932
mdh1,0.91019815,True,0.0,0.003456699082822534,-0.003456699082822534
uqcc2,0.9101874,False,0.006172839506172867,0.016546066276443727,-0.01037322677027086
atp1b1,0.91006106,True,0.0,0.01433377886343734,-0.01433377886343734
rps15a,0.90998185,False,0.0,0.02322901783656728,-0.02322901783656728
malat1,0.9099723,True,0.0,0.0,0.0
ckb,0.9099473,True,0.0,0.002765359266257983,-0.002765359266257983
lars2,0.90977645,False,0.0,9.217864220856242e-05,-9.217864220856242e-05
rpl24,0.90972006,False,0.0,0.012213670092639517,-0.012213670092639517
atp5e,0.90959364,False,0.0030864197530864335,0.00663686223901927,-0.0035504424859328365
gpm6a,0.9095807,False,0.0,0.01299718855141263,-0.01299718855141263
psap,0.90955466,False,0.0,0.009356132184172972,-0.009356132184172972
actg1,0.9094852,False,0.0,0.007927363229939588,-0.007927363229939588
stmn3,0.9094437,False,0.0,0.03263123934184453,-0.03263123934184453
atp5f1,0.9094243,False,0.006172839506172867,0.00663686223901927,-0.00046402273284640305
atp2a2,0.90940696,False,0.0,0.019034889616075912,-0.019034889616075912
atp5j2,0.9094059,False,0.0,0.003226252477301017,-0.003226252477301017
uqcr10,0.90905464,False,0.0,0.0052541826058901675,-0.0052541826058901675
atp5l,0.90887344,False,0.0030864197530864335,0.004240217541595648,-0.0011537977885092143
cst3,0.90883577,True,0.0,0.000645250495460159,-0.000645250495460159
