,score,is_training,sparsity_sp,sparsity_sc,sparsity_diff
snap25,0.99822843,False,0.0,0.01461031479006314,-0.01461031479006314
gapdh,0.99820316,False,0.0,0.0009678757431903495,-0.0009678757431903495
ppia,0.99815655,True,0.0,9.217864220856242e-05,-9.217864220856242e-05
calm1,0.99795574,False,0.0,0.0003687145688343607,-0.0003687145688343607
calm2,0.9977633,False,0.0,0.0017513942019633522,-0.0017513942019633522
ubb,0.99735695,True,0.0,9.217864220856242e-05,-9.217864220856242e-05
atp1b1,0.9970332,True,0.0,0.01433377886343734,-0.01433377886343734
cox6c,0.99694324,False,0.0,0.0013826796331289914,-0.0013826796331289914
tmsb4x,0.99693877,True,0.0,0.002811448587362264,-0.002811448587362264
hspa8,0.996863,False,0.0,0.0007835184587731137,-0.0007835184587731137
gnas,0.9968016,False,0.0,0.0026731806240494205,-0.0026731806240494205
ckb,0.99633014,True,0.0,0.002765359266257983,-0.002765359266257983
ndufa4,0.996313,False,0.0,0.0024427340185279034,-0.0024427340185279034
rtn1,0.996239,False,0.0,0.017882656588468437,-0.017882656588468437
aldoa,0.9962127,False,0.0,0.001705304880859071,-0.001705304880859071
ndrg4,0.9961709,False,0.0,0.027146610130432736,-0.027146610130432736
ywhah,0.9961586,False,0.0,0.01834354979951147,-0.01834354979951147
rplp1,0.9960137,False,0.0,0.007927363229939588,-0.007927363229939588
cox4i1,0.99589044,False,0.0,0.0011522330276074744,-0.0011522330276074744
fth1,0.99578756,True,0.0,0.00013826796331295466,-0.00013826796331295466
cox8a,0.99576056,False,0.0,0.0009217864220859573,-0.0009217864220859573
stmn1,0.9956955,True,0.0,0.024519518827487707,-0.024519518827487707
psap,0.9955393,False,0.0,0.009356132184172972,-0.009356132184172972
atp6v0c,0.99541,False,0.0,0.004839378715951526,-0.004839378715951526
atp5b,0.99530023,True,0.0,0.0011522330276074744,-0.0011522330276074744
rps24,0.9951666,False,0.0,0.013918974973498588,-0.013918974973498588
rps21,0.9951572,False,0.0,0.011153615707240605,-0.011153615707240605
cox6a1,0.9949907,False,0.0,0.001520947596441946,-0.001520947596441946
app,0.9949807,False,0.0,0.023782089689818875,-0.023782089689818875
rps27a,0.99487346,False,0.0,0.014886850716688937,-0.014886850716688937
rps29,0.99482197,True,0.0,0.0020279301285891504,-0.0020279301285891504
rps14,0.9947168,True,0.0,0.005622897174724639,-0.005622897174724639
rpl38,0.99467146,False,0.0,0.00829607779877406,-0.00829607779877406
cpe,0.9946635,False,0.0,0.009448310826381534,-0.009448310826381534
stmn3,0.9946352,False,0.0,0.03263123934184453,-0.03263123934184453
slc25a4,0.99455184,True,0.0,0.003180163156196736,-0.003180163156196736
mdh1,0.9945357,True,0.0,0.003456699082822534,-0.003456699082822534
rpl17,0.9944682,False,0.0,0.019127068258284585,-0.019127068258284585
cst3,0.9944582,True,0.0,0.000645250495460159,-0.000645250495460159
vamp2,0.9944135,False,0.0,0.01728349541411256,-0.01728349541411256
gpm6a,0.9943196,False,0.0,0.01299718855141263,-0.01299718855141263
eef1a1,0.99425447,True,0.0,0.0035027884039268153,-0.0035027884039268153
olfm1,0.9941962,True,0.0,0.02922062958012628,-0.02922062958012628
actg1,0.99418074,False,0.0,0.007927363229939588,-0.007927363229939588
2900097c17rik,0.9941307,False,0.0,0.04161865695718303,-0.04161865695718303
cox7c,0.9940238,False,0.0030864197530864335,0.0015670369175462273,0.0015193828355402061
tuba1a,0.99401456,True,0.0,0.0052541826058901675,-0.0052541826058901675
rpl21,0.9940062,False,0.0,0.008434345762086903,-0.008434345762086903
rtn3,0.9937047,False,0.0030864197530864335,0.012858920588099787,-0.009772500835013354
rpl13a,0.99366915,False,0.0,0.013273724478038429,-0.013273724478038429
cox5b,0.99353105,False,0.0,0.003226252477301017,-0.003226252477301017
rpl26,0.9935189,False,0.0,0.012536295340369596,-0.012536295340369596
rpl35a,0.99351186,False,0.0,0.014702493432271702,-0.014702493432271702
hsp90aa1,0.99339885,False,0.0,0.013135456514725585,-0.013135456514725585
rpl13,0.99339175,False,0.0,0.005622897174724639,-0.005622897174724639
syt1,0.99338776,False,0.006172839506172867,0.040097709360741085,-0.03392486985456822
rpl37,0.9932936,True,0.0,0.008342167119878341,-0.008342167119878341
rps7,0.99297893,False,0.0,0.016822602203069525,-0.016822602203069525
meg3,0.9929291,False,0.0,0.028713647047978963,-0.028713647047978963
fau,0.99290687,False,0.0,0.010784901138406244,-0.010784901138406244
cfl1,0.9928107,False,0.0,0.00023044660552151708,-0.00023044660552151708
actb,0.99280435,True,0.0,0.0005530718532515966,-0.0005530718532515966
rpl41,0.9927837,True,0.0,0.0031340738350924546,-0.0031340738350924546
tpi1,0.99263734,False,0.0030864197530864335,0.009724846753007332,-0.006638426999920899
cox7a2,0.992498,False,0.0,0.0033645204406138607,-0.0033645204406138607
rtn4,0.99248326,True,0.0,0.0316172742775499,-0.0316172742775499
rpl19,0.99247193,False,0.0,0.012259759413743798,-0.012259759413743798
atp5h,0.9924612,False,0.0,0.0031340738350924546,-0.0031340738350924546
gpx4,0.9923679,True,0.0,0.005991611743559,-0.005991611743559
calm3,0.9922945,False,0.0,0.018758353689450113,-0.018758353689450113
rpl32,0.9922744,False,0.0,0.014425957505645903,-0.014425957505645903
rps20,0.9922422,False,0.0,0.022768124625524244,-0.022768124625524244
rps23,0.9922077,True,0.0,0.011337972991657841,-0.011337972991657841
uchl1,0.99212945,True,0.0,0.0433239618380421,-0.0433239618380421
nrgn,0.9920758,True,0.0,0.19657095450984008,-0.19657095450984008
atp5j2,0.9920616,False,0.0,0.003226252477301017,-0.003226252477301017
camk2n1,0.9919538,True,0.0,0.03691754620454446,-0.03691754620454446
tpt1,0.9919232,False,0.0,0.006867308844540676,-0.006867308844540676
tspan7,0.99174994,True,0.0,0.007143844771166474,-0.007143844771166474
rps15,0.99174446,False,0.0,0.013550260404664227,-0.013550260404664227
rpl24,0.9915992,False,0.0,0.012213670092639517,-0.012213670092639517
atpif1,0.9915266,False,0.0,0.013826796331290025,-0.013826796331290025
dynll1,0.9914792,True,0.0,0.002811448587362264,-0.002811448587362264
ywhaz,0.99146897,False,0.0,0.004977646679264369,-0.004977646679264369
chchd2,0.9912664,False,0.0,0.002765359266257983,-0.002765359266257983
