,train_score,sparsity_sc,sparsity_sp,sparsity_diff
ebf3,0.9527469,0.9964511222749689,0.9938271604938271,-0.0026239617811417704
lhx1os,0.9362847,0.9971424620915333,0.9969135802469136,-0.00022888184461977712
nhlh2,0.92866904,0.9845139881089552,0.9969135802469136,0.012399592137958382
apoe,0.92558426,0.6682029773701433,0.0,-0.6682029773701433
tmsb4x,0.9160661,0.002811448587362264,0.0,-0.002811448587362264
ppia,0.91479075,9.217864220856242e-05,0.0,-9.217864220856242e-05
ubb,0.9128568,9.217864220856242e-05,0.0,-9.217864220856242e-05
gpx4,0.91278553,0.005991611743559,0.0,-0.005991611743559
rps14,0.91270846,0.005622897174724639,0.0,-0.005622897174724639
1110008p14rik,0.9122969,0.0539705950131355,0.0,-0.0539705950131355
sept7,0.91225827,0.0029497165506752188,0.0,-0.0029497165506752188
atp5b,0.91176367,0.0011522330276074744,0.0,-0.0011522330276074744
bsg,0.9115945,0.002534912660736466,0.0,-0.002534912660736466
atp2b1,0.9106139,0.030142416002212236,0.0092592592592593,-0.020883156742952935
dynll1,0.9106066,0.002811448587362264,0.0,-0.002811448587362264
fth1,0.91055954,0.00013826796331295466,0.0,-0.00013826796331295466
slc25a4,0.91027874,0.003180163156196736,0.0,-0.003180163156196736
mdh1,0.91019815,0.003456699082822534,0.0,-0.003456699082822534
atp1b1,0.91006106,0.01433377886343734,0.0,-0.01433377886343734
malat1,0.9099723,0.0,0.0,0.0
ckb,0.9099473,0.002765359266257983,0.0,-0.002765359266257983
cst3,0.90883577,0.000645250495460159,0.0,-0.000645250495460159
itm2b,0.9088269,0.0003226252477300795,0.0,-0.0003226252477300795
atp5g3,0.9082837,0.0017974835230677444,0.0,-0.0017974835230677444
ppp3ca,0.908142,0.017467852698529795,0.0,-0.017467852698529795
tuba1a,0.9080533,0.0052541826058901675,0.0,-0.0052541826058901675
cck,0.90778065,0.22284186753929114,0.0,-0.22284186753929114
olfm1,0.907603,0.02922062958012628,0.0,-0.02922062958012628
rtn4,0.90745664,0.0316172742775499,0.0,-0.0316172742775499
stmn1,0.90707916,0.024519518827487707,0.0,-0.024519518827487707
actb,0.9070631,0.0005530718532515966,0.0,-0.0005530718532515966
rps29,0.90701926,0.0020279301285891504,0.0,-0.0020279301285891504
eef1a1,0.9068395,0.0035027884039268153,0.0,-0.0035027884039268153
rps23,0.90664095,0.011337972991657841,0.0,-0.011337972991657841
atp5j,0.90649796,0.0014287689542332727,0.0,-0.0014287689542332727
ldhb,0.9063924,0.010139650642945974,0.0,-0.010139650642945974
chn1,0.9061679,0.030695487855463943,0.0,-0.030695487855463943
rpl37,0.9060136,0.008342167119878341,0.0,-0.008342167119878341
scd2,0.9056858,0.05811863391252248,0.0092592592592593,-0.04885937465326318
sparcl1,0.9053565,0.06586163985804494,0.0,-0.06586163985804494
myl6,0.9044775,0.006867308844540676,0.0030864197530864335,-0.0037808890914542426
atp1a2,0.90430784,0.7567405632115038,0.0,-0.7567405632115038
rps9,0.90356,0.010462275890676165,0.0,-0.010462275890676165
tspan7,0.9034812,0.007143844771166474,0.0,-0.007143844771166474
eif1,0.9033505,0.0002765359266257983,0.0,-0.0002765359266257983
ptma,0.9033316,0.004009770936074131,0.0,-0.004009770936074131
snhg11,0.9026919,0.014932940037793219,0.0,-0.014932940037793219
rpl41,0.9024832,0.0031340738350924546,0.0,-0.0031340738350924546
gas5,0.90243506,0.012398027377056753,0.0,-0.012398027377056753
arpp19,0.9023763,0.01995667603816198,0.0030864197530864335,-0.016870256285075547
rpl30,0.9018007,0.016684334239756682,0.0,-0.016684334239756682
nrgn,0.90165603,0.19657095450984008,0.0,-0.19657095450984008
rps27,0.90052944,0.007282112734479429,0.0,-0.007282112734479429
mef2c,0.9003402,0.04152647831497447,0.0030864197530864335,-0.038440058561888035
plp1,0.9000866,0.8106650689035351,0.0,-0.8106650689035351
ndufa13,0.8998021,0.005208093284785886,0.0,-0.005208093284785886
rpl37a,0.89979863,0.00530027192699456,0.0,-0.00530027192699456
ndrg3,0.89977175,0.027192699451537128,0.0,-0.027192699451537128
mt3,0.8995231,0.024196893579757517,0.0,-0.024196893579757517
ndufa6,0.8992846,0.007927363229939588,0.006172839506172867,-0.001754523723766721
rps19,0.8991286,0.010923169101719088,0.0,-0.010923169101719088
uchl1,0.89873284,0.0433239618380421,0.0,-0.0433239618380421
ndufa12,0.8986534,0.009448310826381534,0.0,-0.009448310826381534
rps6,0.8984955,0.015716458496566332,0.0030864197530864335,-0.012630038743479899
camk2n1,0.8983845,0.03691754620454446,0.0,-0.03691754620454446
tuba4a,0.89823765,0.03530441996589395,0.0,-0.03530441996589395
slc1a2,0.8981717,0.1956952574088584,0.0,-0.1956952574088584
hpca,0.89749366,0.08001106143706505,0.0030864197530864335,-0.07692464168397861
rpl7,0.89741105,0.011891044844909437,0.0092592592592593,-0.002631785585650137
mgst3,0.8971468,0.04682675024196892,0.024691358024691357,-0.02213539221727756
rpl18a,0.89688915,0.005853343780246156,0.0,-0.005853343780246156
gpm6b,0.89669245,0.04134212103055723,0.006172839506172867,-0.035169281524384366
zwint,0.8965369,0.014794672074480375,0.0,-0.014794672074480375
prkcb,0.8961479,0.04281697930589479,0.0030864197530864335,-0.03973055955280835
