,train_score,sparsity_sc,sparsity_sp,sparsity_diff
ppia,0.99815655,9.217864220856242e-05,0.0,-9.217864220856242e-05
ubb,0.99735695,9.217864220856242e-05,0.0,-9.217864220856242e-05
atp1b1,0.9970332,0.01433377886343734,0.0,-0.01433377886343734
tmsb4x,0.99693877,0.002811448587362264,0.0,-0.002811448587362264
ckb,0.99633014,0.002765359266257983,0.0,-0.002765359266257983
fth1,0.99578756,0.00013826796331295466,0.0,-0.00013826796331295466
stmn1,0.9956955,0.024519518827487707,0.0,-0.024519518827487707
atp5b,0.99530023,0.0011522330276074744,0.0,-0.0011522330276074744
rps29,0.99482197,0.0020279301285891504,0.0,-0.0020279301285891504
rps14,0.9947168,0.005622897174724639,0.0,-0.005622897174724639
slc25a4,0.99455184,0.003180163156196736,0.0,-0.003180163156196736
mdh1,0.9945357,0.003456699082822534,0.0,-0.003456699082822534
cst3,0.9944582,0.000645250495460159,0.0,-0.000645250495460159
eef1a1,0.99425447,0.0035027884039268153,0.0,-0.0035027884039268153
olfm1,0.9941962,0.02922062958012628,0.0,-0.02922062958012628
tuba1a,0.99401456,0.0052541826058901675,0.0,-0.0052541826058901675
rpl37,0.9932936,0.008342167119878341,0.0,-0.008342167119878341
actb,0.99280435,0.0005530718532515966,0.0,-0.0005530718532515966
rpl41,0.9927837,0.0031340738350924546,0.0,-0.0031340738350924546
rtn4,0.99248326,0.0316172742775499,0.0,-0.0316172742775499
gpx4,0.9923679,0.005991611743559,0.0,-0.005991611743559
rps23,0.9922077,0.011337972991657841,0.0,-0.011337972991657841
uchl1,0.99212945,0.0433239618380421,0.0,-0.0433239618380421
nrgn,0.9920758,0.19657095450984008,0.0,-0.19657095450984008
camk2n1,0.9919538,0.03691754620454446,0.0,-0.03691754620454446
tspan7,0.99174994,0.007143844771166474,0.0,-0.007143844771166474
dynll1,0.9914792,0.002811448587362264,0.0,-0.002811448587362264
ppp3ca,0.99107695,0.017467852698529795,0.0,-0.017467852698529795
atp5j,0.9906764,0.0014287689542332727,0.0,-0.0014287689542332727
mt3,0.99066645,0.024196893579757517,0.0,-0.024196893579757517
chn1,0.9903652,0.030695487855463943,0.0,-0.030695487855463943
sparcl1,0.9898105,0.06586163985804494,0.0,-0.06586163985804494
snhg11,0.9897002,0.014932940037793219,0.0,-0.014932940037793219
eif1,0.9895077,0.0002765359266257983,0.0,-0.0002765359266257983
zwint,0.98944366,0.014794672074480375,0.0,-0.014794672074480375
itm2b,0.9890043,0.0003226252477300795,0.0,-0.0003226252477300795
rpl37a,0.98897916,0.00530027192699456,0.0,-0.00530027192699456
rpl30,0.9884791,0.016684334239756682,0.0,-0.016684334239756682
myl6,0.98797953,0.006867308844540676,0.0030864197530864335,-0.0037808890914542426
ldhb,0.9879087,0.010139650642945974,0.0,-0.010139650642945974
rps19,0.98785114,0.010923169101719088,0.0,-0.010923169101719088
atp5g3,0.9875417,0.0017974835230677444,0.0,-0.0017974835230677444
cck,0.9873928,0.22284186753929114,0.0,-0.22284186753929114
slc1a2,0.98702043,0.1956952574088584,0.0,-0.1956952574088584
rps27,0.9868596,0.007282112734479429,0.0,-0.007282112734479429
apoe,0.98619163,0.6682029773701433,0.0,-0.6682029773701433
sept7,0.98516077,0.0029497165506752188,0.0,-0.0029497165506752188
rpl18a,0.98489565,0.005853343780246156,0.0,-0.005853343780246156
slc17a7,0.98438436,0.43540581647232335,0.0030864197530864335,-0.4323193967192369
ndufa13,0.9842437,0.005208093284785886,0.0,-0.005208093284785886
1110008p14rik,0.98413694,0.0539705950131355,0.0,-0.0539705950131355
prkcb,0.984098,0.04281697930589479,0.0030864197530864335,-0.03973055955280835
ndrg3,0.983641,0.027192699451537128,0.0,-0.027192699451537128
bsg,0.98357296,0.002534912660736466,0.0,-0.002534912660736466
mef2c,0.9832797,0.04152647831497447,0.0030864197530864335,-0.038440058561888035
rpl36,0.9830663,0.006821219523436395,0.0,-0.006821219523436395
atp1a1,0.9819691,0.02696225284601561,0.0,-0.02696225284601561
tuba4a,0.9818903,0.03530441996589395,0.0,-0.03530441996589395
ndufa6,0.9815255,0.007927363229939588,0.006172839506172867,-0.001754523723766721
atp2b2,0.98134506,0.03548877725031108,0.0030864197530864335,-0.03240235749722464
rps9,0.9812679,0.010462275890676165,0.0,-0.010462275890676165
arpp19,0.9809994,0.01995667603816198,0.0030864197530864335,-0.016870256285075547
rps6,0.9806635,0.015716458496566332,0.0030864197530864335,-0.012630038743479899
fkbp1a,0.98018295,0.010554454532884727,0.0,-0.010554454532884727
chchd10,0.9801728,0.022860303267732918,0.0030864197530864335,-0.019773883514646484
cox5a,0.9799948,0.005162003963681605,0.0092592592592593,0.004097255295577695
gas5,0.9797387,0.012398027377056753,0.0,-0.012398027377056753
ldha,0.9794993,0.02295248190994148,0.0030864197530864335,-0.019866062156855047
scd2,0.9789576,0.05811863391252248,0.0092592592592593,-0.04885937465326318
mt1,0.9786971,0.17979444162787483,0.0,-0.17979444162787483
sptbn1,0.97843224,0.012398027377056753,0.0030864197530864335,-0.00931160762397032
ptma,0.9776809,0.004009770936074131,0.0,-0.004009770936074131
hpca,0.9772588,0.08001106143706505,0.0030864197530864335,-0.07692464168397861
clu,0.97644895,0.023413375120984514,0.0,-0.023413375120984514
nsg2,0.9762367,0.05728902613264508,0.006172839506172867,-0.051116186626472215
tubb2a,0.97612154,0.014195510900124386,0.0030864197530864335,-0.011109091147037953
malat1,0.9756575,0.0,0.0,0.0
gnao1,0.9755171,0.022491588698898446,0.006172839506172867,-0.01631874919272558
gpm6b,0.97506577,0.04134212103055723,0.006172839506172867,-0.035169281524384366
