,train_score,sparsity_sc,sparsity_sp,sparsity_diff
plp1,0.9344581,0.6476485944534827,0.5349167681688998,-0.11273182628458289
snap25,0.90439373,0.12004842798229354,0.40225334957369063,0.2822049215913971
vip,0.8961339,0.9273580265597215,0.9805115712545676,0.05315354469484601
enpep,0.8911233,0.9939465022133102,0.9995939910678034,0.005647488854493288
mal,0.8877442,0.7842684726268396,0.8231831100284206,0.038914637401580965
higd1b,0.885284,0.9937951647686429,0.9946203816483963,0.0008252168797533432
prdm6,0.8834515,0.9905035753471303,0.9995939910678034,0.00909041572067315
grpr,0.8821205,0.9886496916499565,0.9995939910678034,0.010944299417846914
pla1a,0.88200027,0.9920169497938027,0.9996954933008526,0.007678543507049884
cnp,0.88128436,0.7045514736483675,0.7895858708891595,0.08503439724079209
ndufa4l2,0.876988,0.9922439559608036,0.9992894843686561,0.007045528407852442
eva1b,0.866826,0.9878173357042866,0.9976654486398701,0.009848112935583409
cldn11,0.86618537,0.8157466611176271,0.8685546082013804,0.05280794708375336
col1a2,0.8586781,0.9875903295372858,0.9980714575720666,0.010481128034780851
ano1,0.857766,0.9851689304226098,0.9981729598051157,0.013004029382505888
gjb2,0.856226,0.9881956793159548,0.9992894843686561,0.0110938050527013
mrvi1,0.8530718,0.9874389920926185,0.9984774665042631,0.011038474411644517
tbx18,0.8494343,0.9929249744618062,0.9993909866017052,0.006466012139899058
gm26719,0.84673995,0.9671219401460407,0.9994924888347544,0.032370548688713696
ednra,0.8460587,0.9810449850554274,0.9982744620381648,0.01722947698273747
apod,0.8459113,0.8078771139949302,0.8392204628501827,0.03134334885525247
kcnj8,0.84569436,0.9940978396579774,0.9974624441737718,0.003364604515794456
atp1b1,0.84487563,0.17577844198100712,0.5799837596427122,0.4042053176617051
ptgds,0.84480506,0.6083765275623321,0.626979293544458,0.018602765982125957
ogn,0.84118974,0.985736445840112,0.9998984977669508,0.014162051926838837
ggt5,0.84050345,0.9874011577314517,0.9990864799025578,0.011685322171106183
slc47a1,0.83867794,0.993568158601642,0.9992894843686561,0.005721325767014007
bnc2,0.8365157,0.9826340282244335,0.9992894843686561,0.01665545614422259
basp1,0.8319281,0.1722598463924937,0.5708485586682908,0.39858871227579706
lamc3,0.83135307,0.9841474026711059,0.9990864799025578,0.014939077231451936
zic2,0.8313478,0.9847527524497749,0.9987819732034104,0.014029220753635552
slc6a13,0.83036345,0.991979115432636,0.9982744620381648,0.006295346605528884
myl9,0.8290312,0.9881200105936211,0.9923873325213155,0.004267321927694412
aebp1,0.82693285,0.9776398925504143,0.9947218838814454,0.017081991331031166
mag,0.826052,0.8378797624002119,0.8756597645148193,0.037780002114607414
pcp4,0.8249092,0.41837236578260373,0.5667884693463257,0.14841610356372192
abcc9,0.824761,0.9891037039839582,0.9992894843686561,0.010185780384697862
foxd1,0.8230605,0.9897847224849609,0.9997969955339018,0.010012273048940923
asic4,0.8202796,0.9765426960765767,0.9964474218432805,0.019904725766703768
ppp3ca,0.81917554,0.06632363512542094,0.5553187170117743,0.4889950818863533
meg3,0.8185885,0.20956452650296997,0.5050751116524563,0.29551058514948636
vtn,0.81831485,0.9798342854980894,0.9823386114494519,0.0025043259513625182
zfp366,0.816504,0.9886875260111233,0.9992894843686561,0.010601958357532748
penk,0.8162857,0.9364382732397564,0.9704628501827041,0.03402457694294769
nid1,0.8122438,0.9853202678672771,0.9989849776695088,0.013664709802231667
qdpr,0.81195885,0.6958495705800007,0.7031059683313032,0.00725639775130249
tspan7,0.81131715,0.16681169838447274,0.5095412099066179,0.34272951152214515
ston1,0.8111974,0.9738942907949,0.9979699553390174,0.02407566454411747
ermn,0.8110562,0.8669365517763232,0.9016443361753959,0.03470778439907263
bmp6,0.8082658,0.9769588740494117,0.999187982135607,0.02222910808619527
ptpn14,0.80715835,0.9757103401309069,0.9979699553390174,0.022259615208110595
mog,0.8070512,0.8376905905943778,0.9002233049127081,0.0625327143183303
ddr2,0.80627954,0.9676894555635428,0.9966504263093788,0.028960970745836034
chn1,0.8031928,0.22511444894252963,0.6156110434429558,0.3904965945004262
